ID.	Age	Sex	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	h1	h2	h3	h4	h5	h6	h7	h8	h9	h10	h11	h12	h13	h14	h15	h16	h17	h18	h19	h20	h21	h22	h23	h24	h25	h26	h27	h28	h29	h30	h31	h32	h33	h34	h35	h36	h37	h38	h39	h40	h41	h42	eA1	eA2	eA3	eA4	eBafallx	eBafallhrs	eBaspringx	eBaspringhrs	eBbfallx	eBbfallhrs	eBbspringx	eBbspringhrs	eBcfallx	eBcfallhrs	eBcspringx	eBcsrpinghrs	eqF
93	21	2	3	4	4	4	3	1	4	4	4	3	1	3	4	2	2	2	4	5	5	5	3	3	3	3	4	2	4	3	3	4	1	4	3	4	4	4	2	2	3	3	3	3	3	4	4	3	1	3	1	3	4	3	5	5	5	3	5	4	5	5	5	4	2	4	4	4	5	4	4	2	4	4	3	4	3	4	4	1	4	4	4	5	1	1	1	1	3	4	4	5	2	3	5	7	5	5	8	8	31.8
94	20	1	3	4	5	3	5	2	5	5	5	5	2	4	4	5	3	3	4	5	5	5	3	3	3	4	4	5	5	5	3	5	5	5	5	5	4	4	3	3	3	4	5	4	4	3	4	2	2	2	2	2	4	1	4	3	3	3	4	3	3	4	4	3	3	4	4	4	3	3	4	3	3	5	4	3	3	3	3	3	4	5	5	4	1	1	1	1	2.5	NA	3.5	NA	1.5	3	1.5	3	NA	NA	NA	NA	35.6
95	26	2	4	4	3	2	2	2	3	4	3	3	3	3	3	1	3	2	2	4	3	4	3	2	4	3	4	1	4	3	3	2	4	3	3	4	3	3	3	4	3	4	5	5	3	5	5	2	1	4	2	3	4	1	4	5	5	2	5	4	4	5	4	4	1	5	4	3	4	2	4	3	5	5	1	3	2	2	5	4	4	4	1	5	1	1	1	1	4	5	4	5	1	1	1	1	1	1	1	1	28.8
96	22	2	3	4	5	4	4	4	5	5	5	5	4	4	5	2	3	4	3	3	4	4	2	3	4	5	4	2	4	3	3	4	3	4	4	4	4	4	3	4	3	4	5	2	5	5	5	2	4	5	1	2	4	1	5	5	5	1	5	5	3	5	5	4	1	5	2	5	5	1	3	3	5	4	3	4	2	1	5	5	5	2	2	3	1	1	1	1	6	20	5	10	6	6	5	5	5	5	5	5	37.4
97	23	1	4	4	4	5	5	5	4	5	4	4	5	5	4	5	2	5	4	5	5	5	2	4	3	4	3	5	5	5	4	5	2	5	5	3	4	5	4	4	3	5	5	5	4	4	4	3	1	5	2	2	5	1	5	5	5	3	5	2	5	5	5	5	2	5	5	4	5	2	5	3	5	5	2	5	2	1	4	4	4	5	2	5	2	1	1	1	0	0	1	1	1	1	1	1	3	3	3	3	42.8
98	25	2	4	4	5	4	5	2	4	4	4	5	3	4	5	4	3	5	4	4	5	4	1	4	4	4	4	5	5	5	4	5	2	5	5	4	5	5	3	3	4	5	5	5	5	5	4	1	4	5	2	5	3	1	4	5	5	1	5	4	4	5	5	5	3	4	5	4	5	2	4	5	4	4	4	5	2	4	4	5	4	5	3	5	1	1	1	1	4	2.5	4	3	1	1	1	0.5	1	0.5	1	0.5	37
99	21	1	3	4	4	2	4	3	4	4	4	4	4	5	4	5	5	5	5	4	4	5	4	2	3	3	4	5	5	5	4	4	2	5	4	3	5	4	5	4	3	5	5	5	5	5	4	3	1	4	1	3	4	1	5	5	5	2	5	3	5	5	5	5	2	5	5	5	5	2	4	4	5	5	4	5	2	1	5	5	5	5	2	5	1	1	1	1	2	2	1	1	6	4	4	4	2	2	1	1	41.4444444444444
100	21	1	3	3	5	3	5	4	5	4	5	4	3	4	4	4	3	4	4	3	4	4	3	3	4	5	4	4	4	4	3	4	4	5	4	4	4	4	3	3	4	4	5	4	3	4	4	2	2	3	1	2	3	2	4	4	4	3	4	3	4	4	4	4	3	4	4	5	4	2	4	2	4	4	2	4	3	2	3	3	4	4	5	5	1	1	1	1	3	1.8	5	3.5	2	2	4	4	1	1	2	2	37.6
101	28	1	3	3	4	3	5	5	5	5	4	3	4	5	3	5	3	5	5	4	4	5	4	3	2	4	5	5	5	5	5	5	5	5	5	4	5	5	4	4	5	5	5	5	5	5	5	1	1	5	1	2	5	1	5	5	5	1	5	5	5	5	5	5	1	5	5	5	5	1	5	3	5	5	1	5	1	1	5	3	5	5	1	5	1	1	1	1	6	7.5	6	7.5	NA	NA	NA	NA	NA	NA	NA	NA	38.8
102	23	1	2	4	4	2	5	3	4	4	4	4	3	4	4	4	4	3	3	5	5	5	1	3	5	5	4	5	5	4	3	3	2	5	5	5	4	4	4	3	4	4	4	5	5	5	5	2	2	5	1	4	5	4	5	5	5	3	5	4	5	5	5	5	2	5	5	5	5	2	5	5	5	5	2	5	2	2	5	2	4	4	3	5	1	1	1	1	3	3	5	4	2	1.5	4	3	6	1	6	1	34.4
103	23	2	4	4	3	3	5	4	4	5	5	4	4	5	2	5	1	4	5	5	5	5	2	1	4	5	5	5	5	5	5	4	5	5	4	5	5	5	3	4	5	5	5	4	5	5	5	1	4	4	1	2	2	2	4	4	4	1	4	4	4	4	4	4	2	4	4	4	4	4	4	3	4	4	2	1	1	3	5	5	4	1	1	3	1	1	1	1	2	1	2	1	6	6	6	6	2.5	2.5	2.5	2.5	41.2
104	22	2	4	5	3	5	4	4	4	4	4	4	3	3	4	4	4	5	5	5	4	5	3	3	2	3	5	5	5	5	3	3	4	4	4	2	4	4	3	4	5	5	4	4	4	4	4	2	4	5	2	3	2	2	5	5	5	1	3	3	5	5	5	5	1	4	5	5	5	2	5	4	5	5	3	5	2	3	5	5	5	5	3	5	1	1	1	1	2	4	2	4	1.5	1.5	1.5	1.5	1	1	1	1	35.8
105	25	2	2	4	3	3	2	1	1	NA	1	2	2	2	3	5	3	5	5	4	2	5	2	3	3	1	5	5	5	5	4	2	3	4	2	1	5	2	4	2	5	2	5	5	2	2	4	1	1	4	1	NA	2	1	4	4	4	2	5	4	4	5	3	3	1	5	3	5	5	3	5	3	2	4	1	3	2	1	4	3	2	5	1	5	1	1	1	1	5	5	5	5	0	0	0	0	0	0	0	0	28
106	22	2	5	4	4	3	5	5	4	4	5	5	5	5	3	3	5	5	4	2	4	4	3	4	4	5	5	4	4	4	4	5	5	5	4	5	5	4	5	5	4	5	4	4	2	2	4	4	1	3	2	4	4	3	3	4	4	4	4	3	4	3	5	4	3	4	5	3	4	3	3	1	4	2	3	4	3	1	3	2	4	2	3	3	2	1	1	1	2	4	5	5	1	1	5	4	2	1	4	2	41.6
107	19	1	2	3	3	3	4	3	4	4	4	1	3	3	3	3	3	4	4	4	5	4	3	3	2	3	4	3	4	4	3	5	3	4	5	2	3	5	2	3	3	4	5	5	5	5	5	4	3	4	1	3	4	3	4	4	4	2	4	4	4	3	4	4	3	4	4	3	4	2	4	2	4	4	4	4	3	2	5	4	5	4	3	5	1	1	1	1	6	9	6	9	3	5	3	5	5	2.5	5	2.5	29.2
108	20	1	2	NA	2	2	4	4	4	5	5	5	3	5	2	5	5	5	5	3	3	3	4	2	4	5	5	5	3	4	4	4	4	3	4	5	5	4	4	4	5	5	5	5	4	5	4	3	2	3	1	2	4	1	5	5	5	2	5	4	5	5	5	5	2	5	4	4	5	2	5	3	5	5	2	4	2	2	5	5	5	5	2	5	1	1	1	1	3	6	3	6	7	14	7	14	7	14	7	14	37.4
109	20	2	4	4	3	4	5	4	3	4	4	4	4	4	4	3	3	4	3	3	3	4	4	4	3	3	3	3	4	4	2	4	4	4	3	4	3	4	2	3	3	4	5	5	5	4	5	4	1	1	1	3	4	2	4	3	4	1	4	4	3	4	4	4	1	4	1	4	3	1	3	3	3	3	4	3	3	2	4	3	3	3	4	3	1	1	1	1	4	1	5	12	2	2	5	6	2	2	5	10	33.8
110	21	1	4	4	3	3	5	5	4	4	4	3	5	5	4	3	3	4	3	3	4	3	5	4	3	2	4	3	4	4	5	5	4	4	4	3	4	4	5	4	3	5	4	4	4	4	4	4	2	1	2	4	3	4	2	5	5	5	2	5	4	5	5	4	5	3	3	2	4	2	5	4	5	5	2	4	2	2	4	4	4	4	2	4	1	1	1	1	4	3	5	6	4	3	5	7	2	1	4	3	38.2
111	20	1	4	2	3	2	4	3	5	4	5	5	4	5	4	5	5	4	4	2	4	4	3	3	4	5	4	4	4	4	4	3	4	5	3	5	5	4	3	3	2	5	5	5	4	3	5	1	1	5	1	4	5	1	4	5	5	1	5	5	5	5	4	5	1	5	1	5	5	1	4	3	4	5	1	3	1	1	5	3	5	2	1	4	1	1	1	1	7	11	5	7.5	1	2	1	2	2	4	2	4	35.3777777777778
112	22	2	4	3	1	3	5	2	4	4	3	2	4	4	3	3	2	4	4	4	4	4	3	3	4	3	4	4	4	4	3	3	3	1	4	2	4	4	1	3	4	5	5	5	5	4	5	2	4	5	1	5	3	1	5	5	5	1	5	4	5	5	5	5	1	4	4	5	5	2	4	4	4	5	2	5	2	2	5	5	4	5	2	5	1	1	1	1	5.5	8	5.5	12	2.5	3	6.5	8	4.5	5	5.5	8	29.4
